Unspecified,Abandoned Vehicle,362.85714285714283
Unspecified,Animal-Abuse,351.125
Unspecified,Noise - Park,330.875
Unspecified,General,243.0
Unspecified,FHV Licensee Complaint,216.0
QUEENS,Dept of Investigations,373.0
QUEENS,Unsanitary Condition,248.0
QUEENS,X-Ray Machine/Equipment,166.0
QUEENS,Dead/Dying Tree,160.37589841878295
QUEENS,Found Property,160.0
BROOKLYN,Overgrown Tree/Branches,210.4612702366127
BROOKLYN,Facades,144.95
BROOKLYN,Interior Demo,136.66666666666666
BROOKLYN,Found Property,130.8695652173913
BROOKLYN,Dead/Dying Tree,100.33668341708542
BRONX,Unsanitary Condition,256.2
BRONX,General,236.0
BRONX,X-Ray Machine/Equipment,141.0
BRONX,Facades,132.875
BRONX,Dead/Dying Tree,119.22861586314153
MANHATTAN,Safety,369.0
MANHATTAN,Found Property,155.33333333333334
MANHATTAN,New Tree Request,116.07113985448666
MANHATTAN,Facades,113.66425992779783
MANHATTAN,Graffiti,113.34968413229282
STATEN ISLAND,New Tree Request,239.38235294117646
STATEN ISLAND,FATF,137.75
STATEN ISLAND,Dead/Dying Tree,129.31405693950177
STATEN ISLAND,Graffiti,128.77777777777777
STATEN ISLAND,For Hire Vehicle Complaint,92.0695652173913
