Unspecified,Benefit Card Replacement,4555
Unspecified,Highway Condition,2815
Unspecified,DOF Parking - Payment Issue,1704
Unspecified,HPD Literature Request,1226
Unspecified,Broken Parking Meter,891
QUEENS,Illegal Parking,58322
QUEENS,Blocked Driveway,50854
QUEENS,Noise - Residential,47321
QUEENS,Request Large Bulky Item Collection,37056
QUEENS,Street Condition,26768
BROOKLYN,Illegal Parking,64083
BROOKLYN,Noise - Residential,62148
BROOKLYN,HEAT/HOT WATER,53618
BROOKLYN,Blocked Driveway,45598
BROOKLYN,Request Large Bulky Item Collection,36352
BRONX,HEAT/HOT WATER,58578
BRONX,Noise - Residential,51973
BRONX,Noise - Street/Sidewalk,24289
BRONX,Blocked Driveway,22245
BRONX,Illegal Parking,20596
MANHATTAN,Noise - Residential,45649
MANHATTAN,HEAT/HOT WATER,39857
MANHATTAN,Noise - Street/Sidewalk,33999
MANHATTAN,Illegal Parking,30446
MANHATTAN,Noise,23575
STATEN ISLAND,Illegal Parking,9487
STATEN ISLAND,Street Condition,9275
STATEN ISLAND,Request Large Bulky Item Collection,8744
STATEN ISLAND,Missed Collection (All Materials),7120
STATEN ISLAND,Noise - Residential,7018
