sm48-t3s6	12 Month Rolling Cash Assistance Recipient Caseload
kyad-zm4j	1995 Street Tree Census
9d6u-jzxb	2001 - 2013 Graduation Outcomes
268n-a7em	2001- 2013 Graduation Outcomes Borough- ALL STUDENTS,SWD,GENDER,ELL,ETHNICITY,EVER ELL
4mfq-ds6b	2001-2013 Graduation Outcome School Level - ALL/ELL/SWD/ETHNICITY/GENDER/EVER_ELL/TRANSFER SCHOOLS
hpku-qnwm	2001- 2013 Graduation Outcomes Citywide- ALL STUDENTS,SWD,GENDER,ELL,ETHNICITY,EVER ELL
su44-8gcn	2001- 2013 Graduation Outcomes District- ALL STUDENTS,SWD,GENDER,ELL,ETHNICITY,EVER ELL
735p-zed8	2001 Campaign Contributions
k3cd-yu9d	2001 Campaign Expenditures
8dhd-zvi6	2001 Campaign Payments
s79c-jgrm	2003 Campaign Contributions
fbaw-uq4e	2003 Campaign Expenditures
ms66-xjfq	2003 Campaign Payments
avir-tzek	2005-2010  Graduation Outcomes -  By Borough
vh2h-md7a	2005-2010 Graduation Outcomes - School Level
sqb7-p8nz	2005 - 2011 Graduation Outcomes - Borough - Classes of - Gender
hnf2-ds4u	2005 - 2011 Graduation Outcomes - Borough - Classes of - SWD
qs5h-jhhg	2005 - 2011 Graduation Outcomes - Borough - ELL
x2hp-8ukt	2005 - 2011 Graduation Outcomes - Borough - Ethnicity
di8r-g5w9	2005 - 2011 Graduation Outcomes - Borough  - Total Cohort
38ib-pjw5	2005 - 2011 Graduation Outcomes - Citywide - ELL
mbym-vp3s	2005 - 2011 Graduation Outcomes - Citywide - Ethnicity
rn5p-vhac	2005 - 2011 Graduation Outcomes - Citywide - Gender
jkiz-wt49	2005 - 2011 Graduation Outcomes - Citywide - SWD
ubv8-6n5w	2005 - 2011 Graduation Outcomes - Citywide -  Total Cohort
cma4-zi8m	2005 - 2011 Graduation Outcomes - School Level - Classes of - Total Cohort
i37z-2ty9	2005 - 2011 Graduation Outcomes - School Level- ELL
6jad-5sav	2005 - 2011 Graduation Outcomes - School Level - - Ethnicity
khqi-x3p3	2005 - 2011 Graduation Outcomes - School Level - - Gender
avsi-2fp7	2005 - 2011 Graduation Outcomes - School Level - SWD
piri-jns7	2005 - 2012 Quality Review
qk7d-gecv	2005 - 2015 Graduation Outcomes
fq9e-fd84	2005-2015 Graduation Rates District - All
k2ic-km9j	2005-2015 Graduation Rates Public - Borough
g4ux-eh4t	2005-2015 Graduation Rates Public - Citywide
35ey-ieq4	2005-2015 Graduation Rates Public - School
e2gu-mjqa	2005-2015 Graduation Rates Public School - APM
cwx7-agsh	2005 - 2017 Quality Review Ratings
9n9z-hh9p	2005 - 2017 School Quality Review Ratings
3wfy-sn5g	2005 - 2018 Quality Review Ratings
64gx-bycn	2005 Campaign Contributions
easq-ubfe	2005 Campaign Expenditures
9mjx-v8ip	2005 Campaign Payments
29bw-z7pj	2005 Street Tree Census
4g4r-7dfb	2006-07 Class Size - By Borough
nwrb-z58j	2006-07 Class Size - By District
weaz-wxw9	2006-07 Class Size - By Region
w49k-mmkh	2006-07 Class Size - Citywide Summary
qfk7-6ens	2006-07 Class Size - School-level Detail
fzv4-jan3	2006-07 School Progress Reports - All Schools
weg5-33pj	2006-2007 School Progress Report
xwxx-rnki	2006-2009 Historical Daily Attendance By School
4kse-vfnd	2006 - 2011 English Language Arts (ELA) Test Results by Grade - Boro - All Students
hcf7-jp2y	2006 - 2011 English Language Arts (ELA) Test Results by Grade - Boro - by Disability Status
vn2t-jh2b	2006 - 2011 English Language Arts (ELA) Test Results by Grade - Boro - by English Proficiency Status
ny8v-zzzb	2006 - 2011 English Language Arts (ELA) Test Results by Grade - Boro - by Gender
xjcm-e5uy	2006 - 2011 English Language Arts (ELA) Test Results by Grade- Boro - by Race-Ethnicity
9bmk-bbj5	2006-2011 English Language Arts (ELA) Test Results by Grade - Citywide - All Students
pcgw-s47c	2006 - 2011 English Language Arts (ELA) Test Results by Grade - Citywide - by Disability Status
yjsf-89ae	2006 - 2011  English Language Arts (ELA) Test Results by Grade - Citywide - by English Proficiency Status
j7wr-gf2w	2006 - 2011 English Language Arts (ELA) Test Results by Grade- Citywide - by Gender
3kcn-nsb5	2006-2011 English Language Arts (ELA) Test Results by Grade - Citywide - by Race-Ethnicity
85ty-ti6v	2006 - 2011 English Language Arts (ELA) Test Results by Grade - District - All Students
b9e9-2we4	2006 - 2011 English Language Arts (ELA) Test Results by Grade - District - by Disability Status
87y3-sqsx	2006 - 2011 English Language Arts (ELA) Test Results by Grade - District - by English Proficiency Status
htkc-b6ea	2006 - 2011 English Language Arts (ELA) Test Results by Grade - District - by Gender
cz36-mpdq	2006 - 2011 English Language Arts (ELA) Test Results by Grade - District - by Race-Ethnicity
yu9n-iqyk	2006 - 2011 English Language Arts (ELA) Test Results by Grade - School level - All Students
zs4w-c9cd	2006 - 2011 English Language Arts (ELA) Test Results by Grade - School level - by Disability Status
f3u3-q8ea	2006 - 2011 English Language Arts (ELA) Test Results by Grade - School level - by English Proficiency Status
c72z-kzbi	2006 - 2011 English Language Arts (ELA) Test Results by Grade- School level - by Gender
g8e6-y4ax	2006 - 2011 English Language Arts (ELA) Test Results by Grade - School level - by Race-Ethnicity
gyaz-82xj	2006 - 2011 NYS Math Test Results By Grade 2006-2011 - District - All Students
a2nf-cvfm	2006 - 2011 NYS Math Test Results By Grade - Boro - All Students
rhtj-vttz	2006 - 2011 NYS Math Test Results By Grade - Boro - By Disability Status
dtfq-bfpc	2006 - 2011 NYS Math Test Results By Grade - Boro - By Gender
ypm7-drwf	2006-2011 NYS Math Test Results By Grade - Boro - By Race- Ethnicity
zpd4-gad8	2006 - 2011 NYS Math Test Results By Grade - Boro -  Proficiency Status
j2sr-pm3b	2006 - 2011 NYS Math Test Results by Grade - Citywide - All Students
mu2n-2qpd	2006 - 2011 NYS Math Test Results by Grade - Citywide - by Disability Status
c5sh-m8tb	2006-2011 NYS Math Test Results by Grade - Citywide - by Gender
825b-niea	2006 - 2011 NYS Math Test Results by Grade - Citywide - by Race-Ethnicity
hv77-qnda	2006 - 2011 NYS Math Test Results by Grade - Citywide - Proficiency Status
vza7-n6vi	2006 - 2011 NYS Math Test Results By Grade - District - By Disability Status
h2mm-eazk	2006 - 2011 NYS Math Test Results By Grade - District - By English Proficiency Status
yz7z-iupz	2006 - 2011 NYS Math Test Results By Grade - District - By Gender
pgrs-2cjd	2006 - 2011 NYS Math Test Results By Grade - District - By Race- Ethnicity
jufi-gzgp	2006 - 2011 NYS Math Test Results By Grade - School Level - All Students
vdbc-pyc9	2006 - 2011 NYS Math Test Results By Grade - School Level - By Disability Status
sibt-hnvk	2006 - 2011 NYS Math Test Results By Grade- School Level - By English Proficiency Status
pxfd-dpcz	2006 - 2011 NYS Math Test Results By Grade - School Level - By Gender
ty7c-8rmq	2006 - 2011 NYS Math Test Results By Grade - School Level - By Race- Ethnicity
rwa3-b3wr	2006 - 2011 School Progress Reports - All Schools -  Multiyear Summary
k5ws-xbkn	2006 - 2012 English Language Arts (ELA) Test Results - Borough - All Students
h3zm-ta5h	2006 - 2012 English Language Arts (ELA) Test Results - Borough - ELL
s5q4-7ezf	2006 - 2012 English Language Arts (ELA) Test Results - Borough - Ethnicity
w5y2-8cs3	2006 - 2012 English Language Arts (ELA) Test Results - Borough - Gender
vfk9-3uwk	2006 - 2012 English Language Arts (ELA) Test Results - Borough - SWD
d68p-5js9	2006 - 2012 English Language Arts (ELA) Test Results - Charter Schools
89di-hi4s	2006 - 2012 English Language Arts (ELA) Test Results - Citywide - All Students
72db-huua	2006 - 2012 English Language Arts (ELA) Test Results - Citywide - ELL
p5w7-g72z	2006 - 2012 English Language Arts (ELA) Test Results - Citywide - Ethnicity
cs9m-cz6f	2006 - 2012 English Language Arts (ELA) Test Results - Citywide - Gender
d72n-ivax	2006 - 2012 English Language Arts (ELA) Test Results - Citywide - SWD
tbvj-mbps	2006 - 2012 English Language Arts (ELA) Test Results - District - ELL
49kg-8sce	2006 - 2012 English Language Arts (ELA) Test Results - District - Gender
rq2f-42ua	2006 - 2012 English Language Arts (ELA) Test Results - District - SWD
wrhz-w8mn	2006 - 2012 English Language Arts (ELA) Test Results- School - All Students
thxi-frp3	2006 - 2012 English Language Arts (ELA) Test Results - School - ELL
tn5h-i3e8	2006 - 2012 English Language Arts (ELA) Test Results - School - Ethnicity
yuzm-c784	2006 - 2012 English Language Arts (ELA) Test Results - School - Gender
phth-xf25	2006-2012 English Language Arts (ELA) Test Results - School - SWD
3mrr-8h5c	2006 - 2012  Math Test Results  - All Students
jphp-xt7k	2006 - 2012 Math Test Results - Borough - All Students
5c5x-3qz9	2006 - 2012 Math Test Results - Borough - ELL
q9mx-gjyn	2006 - 2012 Math Test Results - Borough - Gender
7vy4-ats6	2006 - 2012 Math Test Results - Borough - SWD
