2010/01/01,blocked driveway,BRONX,25
2010/01/02,blocked driveway,BRONX,23
2010/01/03,blocked driveway,BRONX,24
2010/01/04,blocked driveway,BRONX,19
2010/01/05,blocked driveway,BRONX,18
2010/01/06,blocked driveway,BRONX,15
2010/01/07,blocked driveway,BRONX,16
2010/01/08,blocked driveway,BRONX,25
2010/01/09,blocked driveway,BRONX,18
2010/01/10,blocked driveway,BRONX,24
2010/01/11,blocked driveway,BRONX,19
2010/01/12,blocked driveway,BRONX,22
2010/01/13,blocked driveway,BRONX,12
2010/01/14,blocked driveway,BRONX,17
2010/01/15,blocked driveway,BRONX,19
2010/01/16,blocked driveway,BRONX,16
2010/01/17,blocked driveway,BRONX,20
2010/01/18,blocked driveway,BRONX,15
2010/01/19,blocked driveway,BRONX,19
2010/01/20,blocked driveway,BRONX,14
2010/01/21,blocked driveway,BRONX,16
2010/01/22,blocked driveway,BRONX,19
2010/01/23,blocked driveway,BRONX,26
2010/01/24,blocked driveway,BRONX,29
2010/01/25,blocked driveway,BRONX,15
2010/01/26,blocked driveway,BRONX,13
2010/01/27,blocked driveway,BRONX,17
2010/01/28,blocked driveway,BRONX,17
2010/01/29,blocked driveway,BRONX,22
2010/01/30,blocked driveway,BRONX,20
2010/01/31,blocked driveway,BRONX,21
2010/02/01,blocked driveway,BRONX,21
2010/02/02,blocked driveway,BRONX,20
2010/02/03,blocked driveway,BRONX,27
2010/02/04,blocked driveway,BRONX,14
2010/02/05,blocked driveway,BRONX,13
2010/02/06,blocked driveway,BRONX,23
2010/02/07,blocked driveway,BRONX,16
2010/02/08,blocked driveway,BRONX,21
2010/02/09,blocked driveway,BRONX,21
2010/02/10,blocked driveway,BRONX,15
2010/02/11,blocked driveway,BRONX,21
2010/02/12,blocked driveway,BRONX,34
2010/02/13,blocked driveway,BRONX,31
2010/02/14,blocked driveway,BRONX,27
2010/02/15,blocked driveway,BRONX,26
2010/02/16,blocked driveway,BRONX,28
2010/02/17,blocked driveway,BRONX,19
2010/02/18,blocked driveway,BRONX,14
2010/02/19,blocked driveway,BRONX,27
2010/02/20,blocked driveway,BRONX,35
2010/02/21,blocked driveway,BRONX,23
2010/02/22,blocked driveway,BRONX,18
2010/02/23,blocked driveway,BRONX,17
2010/02/24,blocked driveway,BRONX,19
2010/02/25,blocked driveway,BRONX,13
2010/02/26,blocked driveway,BRONX,31
2010/02/27,blocked driveway,BRONX,42
2010/02/28,blocked driveway,BRONX,41
2010/03/01,blocked driveway,BRONX,20
2010/03/02,blocked driveway,BRONX,24
2010/03/03,blocked driveway,BRONX,25
2010/03/04,blocked driveway,BRONX,15
2010/03/05,blocked driveway,BRONX,21
2010/03/06,blocked driveway,BRONX,29
2010/03/07,blocked driveway,BRONX,31
2010/03/08,blocked driveway,BRONX,19
2010/03/09,blocked driveway,BRONX,17
2010/03/10,blocked driveway,BRONX,19
2010/03/11,blocked driveway,BRONX,20
2010/03/12,blocked driveway,BRONX,22
2010/03/13,blocked driveway,BRONX,12
2010/03/14,blocked driveway,BRONX,15
2010/03/15,blocked driveway,BRONX,10
2010/03/16,blocked driveway,BRONX,14
2010/03/17,blocked driveway,BRONX,13
2010/03/18,blocked driveway,BRONX,15
2010/03/19,blocked driveway,BRONX,17
2010/03/20,blocked driveway,BRONX,31
2010/03/21,blocked driveway,BRONX,12
2010/03/22,blocked driveway,BRONX,21
2010/03/23,blocked driveway,BRONX,12
2010/03/24,blocked driveway,BRONX,12
2010/03/25,blocked driveway,BRONX,14
2010/03/26,blocked driveway,BRONX,18
2010/03/27,blocked driveway,BRONX,22
2010/03/28,blocked driveway,BRONX,16
2010/03/29,blocked driveway,BRONX,26
2010/03/30,blocked driveway,BRONX,17
2010/03/31,blocked driveway,BRONX,21
2010/04/01,blocked driveway,BRONX,8
2010/04/02,blocked driveway,BRONX,19
2010/04/03,blocked driveway,BRONX,17
2010/04/04,blocked driveway,BRONX,18
2010/04/05,blocked driveway,BRONX,11
2010/04/06,blocked driveway,BRONX,8
2010/04/07,blocked driveway,BRONX,14
2010/04/08,blocked driveway,BRONX,17
2010/04/09,blocked driveway,BRONX,35
2010/04/10,blocked driveway,BRONX,23
