/user/hm74/NYCOpenData/2232-dj5q.tsv.gz 4944
/user/hm74/NYCOpenData/22rr-ujq3.tsv.gz 88164
/user/hm74/NYCOpenData/24nr-gahi.tsv.gz 6084
/user/hm74/NYCOpenData/25aa-q86c.tsv.gz 1901658
/user/hm74/NYCOpenData/25cx-4jug.tsv.gz 188037
/user/hm74/NYCOpenData/25th-nujf.tsv.gz 266139
/user/hm74/NYCOpenData/268n-a7em.tsv.gz 85023
/user/hm74/NYCOpenData/26kp-bgdh.tsv.gz 21678
/user/hm74/NYCOpenData/26ze-s5bx.tsv.gz 354
/user/hm74/NYCOpenData/276h-y36a.tsv.gz 4785
/user/hm74/NYCOpenData/27h8-t3wt.tsv.gz 91377
/user/hm74/NYCOpenData/28rh-vpvr.tsv.gz 14178
/user/hm74/NYCOpenData/29bv-qqsy.tsv.gz 106500
/user/hm74/NYCOpenData/29bw-z7pj.tsv.gz 76143996
/user/hm74/NYCOpenData/29km-avyc.tsv.gz 437793
/user/hm74/NYCOpenData/29ry-u5bf.tsv.gz 1202199
/user/hm74/NYCOpenData/2abb-gr8d.tsv.gz 2211
/user/hm74/NYCOpenData/2anc-iydk.tsv.gz 2949
/user/hm74/NYCOpenData/2ay5-tqqe.tsv.gz 2565
/user/hm74/NYCOpenData/2bef-phhy.tsv.gz 21315
/user/hm74/NYCOpenData/2bh6-qmgg.tsv.gz 10206
/user/hm74/NYCOpenData/2bmr-jdsv.tsv.gz 4513062
/user/hm74/NYCOpenData/2bnn-yakx.tsv.gz 1981663464
/user/hm74/NYCOpenData/2cmn-uidm.tsv.gz 1171608
/user/hm74/NYCOpenData/2dzy-e7cu.tsv.gz 40602
/user/hm74/NYCOpenData/2ei9-vg68.tsv.gz 4197
/user/hm74/NYCOpenData/2emc-na4n.tsv.gz 1223520
/user/hm74/NYCOpenData/2enn-s52j.tsv.gz 717
/user/hm74/NYCOpenData/2eq2-trdu.tsv.gz 3351
/user/hm74/NYCOpenData/2etw-ycbc.tsv.gz 41715
